#{"t_start": 1607308014.566538, "env_id": "BipedalWalker-v3"}
r,l,t
-85.044017,1600,0.649091
-106.882008,115,0.693519
-99.552461,104,0.73516
-81.714216,1600,1.340105
-117.617618,60,1.367339
-106.824564,60,1.394465
-81.748637,1600,2.028184
-118.300703,97,2.066881
-133.257463,230,2.154744
-102.872924,62,2.179757
-80.325034,1600,2.797264
-76.88122,1600,3.408679
-107.676093,47,3.428657
-101.496301,114,3.474162
-83.137092,1600,8.453179
-117.087395,110,9.508075
-99.70543,86,10.296328
-101.515609,77,11.169856
-81.641336,1600,31.511118
-204.996082,1299,49.003746
-123.599334,104,50.507125
-106.180679,1600,71.730095
-120.698659,688,80.706946
-109.735342,65,81.567319
-113.953362,51,82.208825
-102.042153,47,82.932408
-181.555353,970,96.113494
-114.996923,114,97.636774
-120.42668,151,99.571617
-114.610662,130,101.236505
-110.752823,84,102.468103
-120.842653,233,105.410137
-119.292832,169,107.71656
-105.438418,73,108.581522
-149.325727,316,112.913817
-133.987617,184,115.290975
-199.646561,1578,136.973088
-139.384078,265,140.601232
-130.49409,178,142.970945
-105.660238,124,144.706931
-121.321236,130,146.443068
-105.676333,136,148.10046
-103.827469,93,149.335905
-126.479882,241,152.485706
-154.03402,1055,165.723281
-112.331989,173,167.962257
-145.297366,213,170.65492
-118.275508,352,175.231402
-114.577746,96,176.520792
-177.002692,622,184.877883
-124.20258,167,187.02949
-122.020768,154,189.095503
-129.260045,629,197.213056
-125.070259,69,198.252475
-130.391545,246,201.394573
-127.421601,1600,222.919352
-116.610244,85,224.0198
-101.730838,1600,245.906011
-130.846024,1600,266.491914
-78.760504,1600,287.417406
-78.792349,1600,309.328446
-76.84592,1600,330.020858
-78.948173,1600,351.784256
-187.550045,905,363.669113
-120.633747,1600,384.563586
-112.624885,1600,405.490241
-108.845058,56,406.128968
-105.734035,52,406.952447
-104.183123,64,408.00614
-164.959622,1485,428.132418
-83.716269,1600,449.642287
-115.827459,56,450.473788
-107.963135,1600,471.403179
-91.703331,1600,492.578897
-91.638011,1600,513.762733
-120.735437,208,516.507097
-92.659279,1361,534.927133
-102.402519,148,536.897505
-121.587928,73,537.972925
-126.129117,125,539.725211
-112.365627,183,542.127081
-116.550901,86,543.23183
-112.88464,239,546.497638
-120.512443,112,548.02092
-120.478424,264,551.633278
