#{"t_start": 1608022156.3539891, "env_id": "MountainCarContinuous-v0"}
r,l,t
-31.279749,999,10.375973
62.621205,920,20.85094
-27.085934,999,46.954801
-22.218963,999,88.320273
75.057447,677,106.921689
-10.298243,999,129.946556
-1.987502,999,151.278949
-0.314687,999,172.463775
96.59128,328,179.182289
94.764799,479,192.199691
93.837368,795,209.668891
95.407372,247,216.211527
95.107929,151,219.733428
95.828882,175,225.692037
93.433736,153,229.972157
95.149621,117,236.698029
93.938334,151,242.498596
93.60083,224,247.864043
95.026854,114,251.413989
93.553637,117,254.982897
93.451629,116,259.078176
94.32437,116,260.922425
90.977635,206,268.231301
93.185794,149,271.854499
92.931152,149,275.495354
93.433568,116,278.986909
92.954035,151,282.561926
93.168948,118,286.022097
92.443529,121,289.724975
93.22239,152,297.348409
93.217814,193,301.760646
93.281425,149,304.9375
93.513676,116,308.203836
85.512697,236,312.854657
93.600041,115,315.928319
91.908946,122,319.407114
86.541792,209,324.718383
91.134103,129,328.425731
89.786942,223,336.034696
-11.43815,999,366.317444
91.980628,396,379.789284
92.248908,147,383.278539
92.048068,148,387.315295
92.776613,139,391.286753
92.052803,147,397.351246
93.127487,98,399.358921
94.751253,80,403.177773
94.443255,75,405.081336
95.268842,74,406.950231
94.331933,77,408.867996
93.86718,86,410.821949
93.258081,88,417.037877
94.308151,77,418.921543
94.510849,74,420.780627
94.951427,74,422.551681
94.321217,78,425.926258
94.628023,75,427.652037
95.351885,86,429.380178
94.501937,72,431.077372
95.034012,75,433.194422
94.964395,77,436.73577
94.392549,74,438.513854
94.469024,83,440.3001
-68.93683,999,467.248733
93.152052,97,471.684995
94.642249,82,473.710904
93.520812,94,477.331845
93.408283,84,479.158496
93.235957,93,483.186053
93.7752,99,485.689499
94.228804,83,487.940406
94.274397,85,492.534665
94.618148,87,494.787298
92.502239,94,499.0551
94.669667,86,501.1744
92.991304,85,503.385859
94.034008,80,507.690875
92.438081,88,509.621862
93.625821,81,511.63906
92.998787,87,515.411391
92.911392,83,517.399714
93.708205,84,519.36754
94.178726,77,521.22242
93.878245,90,525.036079
94.790283,93,527.096492
92.915976,85,531.121476
94.453684,88,532.900974
93.391701,84,537.388311
94.059263,77,539.001576
92.418916,86,542.117127
94.923339,91,543.607656
92.39817,101,546.478143
92.786766,83,547.829223
94.744923,82,549.182337
94.761412,74,551.841298
94.282988,78,553.254962
92.49045,84,554.645473
92.441079,86,556.055838
92.514051,82,559.047922
94.191658,74,560.650052
93.546739,85,562.285637
92.963498,82,563.87632
93.128979,79,567.303888
94.505091,78,569.208344
93.951423,78,571.102908
93.998043,77,573.143846
92.814537,103,577.435604
93.291502,79,579.207921
94.378541,90,582.581547
92.935574,81,584.263289
94.394641,76,585.977376
