#{"t_start": 1606164716.281729, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,38.275463
-200.0,200,38.307853
-200.0,200,38.326703
-200.0,200,38.344586
-200.0,200,38.367042
-200.0,200,38.929566
-200.0,200,39.225636
-200.0,200,39.520637
-200.0,200,39.815975
-200.0,200,39.838955
-200.0,200,40.164026
-200.0,200,40.501269
-200.0,200,40.993027
-200.0,200,41.022039
-200.0,200,41.317909
-200.0,200,41.584157
-200.0,200,41.847
-200.0,200,42.113117
-200.0,200,42.140731
-200.0,200,42.430588
-200.0,200,42.761619
-200.0,200,43.046581
-200.0,200,43.072939
-200.0,200,43.443031
-200.0,200,43.715351
-200.0,200,44.02985
-200.0,200,44.305605
-200.0,200,44.326128
-200.0,200,44.583894
-200.0,200,44.848835
-200.0,200,45.109587
-200.0,200,45.130868
-200.0,200,45.382597
-200.0,200,45.643474
-200.0,200,45.927218
-200.0,200,46.197022
-200.0,200,46.219202
-200.0,200,46.472399
-200.0,200,46.779622
-200.0,200,47.034901
-200.0,200,47.291041
-200.0,200,47.314478
-200.0,200,47.615186
-200.0,200,47.923748
-200.0,200,48.243383
-200.0,200,48.273845
-200.0,200,48.561806
-200.0,200,48.887294
-200.0,200,49.164846
-200.0,200,49.440335
-200.0,200,49.46921
-200.0,200,49.73969
-200.0,200,50.036139
-200.0,200,50.318744
-200.0,200,50.345367
-200.0,200,50.634679
-200.0,200,50.909694
-200.0,200,51.216257
-200.0,200,51.489153
-200.0,200,51.514098
-200.0,200,51.802374
-200.0,200,52.0687
-200.0,200,52.326026
-200.0,200,52.350602
-200.0,200,52.611657
-200.0,200,52.887505
-200.0,200,53.159542
-200.0,200,53.416556
-200.0,200,53.441118
-200.0,200,53.703814
-200.0,200,54.048822
-200.0,200,54.311957
-200.0,200,54.576863
-200.0,200,54.602074
-200.0,200,54.861997
-200.0,200,55.13712
-200.0,200,55.405063
-200.0,200,55.431248
-200.0,200,55.696731
-200.0,200,55.960019
-200.0,200,56.223442
-200.0,200,56.497868
-200.0,200,56.523818
-200.0,200,56.797507
-200.0,200,57.067105
-200.0,200,57.354593
-200.0,200,57.381362
-200.0,200,57.709198
-200.0,200,57.97066
-200.0,200,58.230444
-200.0,200,58.489926
-200.0,200,58.517
-200.0,200,58.806906
-200.0,200,59.121375
-200.0,200,59.403734
-200.0,200,59.438529
-200.0,200,59.71362
-200.0,200,59.9727
-200.0,200,60.236715
-200.0,200,60.492697
-200.0,200,60.523778
-200.0,200,60.810523
-200.0,200,61.094937
-200.0,200,61.368236
-200.0,200,61.645351
-200.0,200,61.677191
-200.0,200,61.940935
-200.0,200,62.202529
-200.0,200,62.458907
-200.0,200,62.488593
-200.0,200,62.759877
-200.0,200,63.030481
-200.0,200,63.297552
-200.0,200,63.558164
-200.0,200,63.589363
-200.0,200,63.87154
-200.0,200,64.139082
-200.0,200,64.400773
-200.0,200,64.432266
-200.0,200,64.700089
-200.0,200,64.969688
-200.0,200,65.233431
-200.0,200,65.494266
-200.0,200,65.523458
-200.0,200,65.804179
-200.0,200,66.066281
-200.0,200,66.334199
-200.0,200,66.364304
-200.0,200,66.634323
-200.0,200,66.907735
-200.0,200,67.178267
-200.0,200,67.44437
-200.0,200,67.478282
-200.0,200,67.750934
-200.0,200,68.019618
-200.0,200,68.313087
-200.0,200,68.586313
-200.0,200,68.617288
-200.0,200,68.892938
-200.0,200,69.156217
-200.0,200,69.426886
-200.0,200,69.45817
-200.0,200,69.73418
-200.0,200,69.993462
-200.0,200,70.261408
-200.0,200,70.531996
-200.0,200,70.563644
-200.0,200,70.836031
-200.0,200,71.098467
-200.0,200,71.371347
-200.0,200,71.406602
-200.0,200,71.708968
-200.0,200,72.039269
-200.0,200,72.325992
-200.0,200,72.590016
-200.0,200,72.626541
-200.0,200,72.90065
-200.0,200,73.163442
-200.0,200,73.434463
-200.0,200,73.46923
-200.0,200,73.752862
-200.0,200,74.021949
-200.0,200,74.295559
-200.0,200,74.55808
-200.0,200,74.591721
-200.0,200,74.87289
-200.0,200,75.13738
-200.0,200,75.40431
-200.0,200,75.67336
-200.0,200,75.706612
-200.0,200,75.986804
-200.0,200,76.262935
-200.0,200,76.529899
-200.0,200,76.563649
-200.0,200,76.841767
-200.0,200,77.118949
-200.0,200,77.395136
-200.0,200,77.691698
-200.0,200,77.730184
-200.0,200,78.004898
-200.0,200,78.283461
-200.0,200,78.555528
-200.0,200,78.588943
-200.0,200,78.875546
-200.0,200,79.145784
-200.0,200,79.423338
-200.0,200,79.696477
-200.0,200,79.739815
-200.0,200,80.015878
-200.0,200,80.289009
-200.0,200,80.560416
-200.0,200,80.596271
-200.0,200,80.871894
-200.0,200,81.139449
-200.0,200,81.420777
-200.0,200,81.690371
-200.0,200,81.727038
-200.0,200,82.0017
-200.0,200,82.274549
-200.0,200,82.545352
-200.0,200,82.829915
-200.0,200,82.877989
-200.0,200,83.145657
-200.0,200,83.417641
-200.0,200,83.689778
-200.0,200,83.732776
-200.0,200,84.00803
-200.0,200,84.289896
-200.0,200,84.556921
-200.0,200,84.836513
-200.0,200,84.876353
-200.0,200,85.145469
-200.0,200,85.418297
-200.0,200,85.684173
-200.0,200,85.722378
-200.0,200,86.0067
-200.0,200,86.284625
-200.0,200,86.553289
-200.0,200,86.830896
-200.0,200,86.868349
-200.0,200,87.139304
-200.0,200,87.413501
-200.0,200,87.679274
-200.0,200,87.71896
-200.0,200,87.999631
-200.0,200,88.270267
-200.0,200,88.545237
-200.0,200,88.828058
-200.0,200,88.865867
-200.0,200,89.135267
-200.0,200,89.410984
-200.0,200,89.684075
-200.0,200,89.963595
-200.0,200,90.001478
-200.0,200,90.274484
-200.0,200,90.558466
-200.0,200,90.842932
-200.0,200,90.881203
-200.0,200,91.150556
-200.0,200,91.427879
-200.0,200,91.70681
-200.0,200,91.979559
-200.0,200,92.020453
-200.0,200,92.293961
-200.0,200,92.567238
-200.0,200,92.845385
-200.0,200,92.888195
-200.0,200,93.167025
-200.0,200,93.444451
-200.0,200,93.725026
-200.0,200,94.006048
-200.0,200,94.049464
-200.0,200,94.323448
-200.0,200,94.596904
-200.0,200,94.881279
-200.0,200,94.924145
-200.0,200,95.195106
-200.0,200,95.476025
-200.0,200,95.752494
-200.0,200,96.031095
-200.0,200,96.07472
-200.0,200,96.354368
-200.0,200,96.627962
-200.0,200,96.90802
-200.0,200,97.179881
-200.0,200,97.225082
-200.0,200,97.516423
-200.0,200,97.82265
-200.0,200,98.103818
-200.0,200,98.14455
-200.0,200,98.429486
-200.0,200,98.701819
-200.0,200,98.985397
-200.0,200,99.256929
-200.0,200,99.299199
-200.0,200,99.581486
-200.0,200,99.863793
-200.0,200,100.139143
-200.0,200,100.185586
-200.0,200,100.461037
-200.0,200,100.74248
-200.0,200,101.031109
-200.0,200,101.307983
-200.0,200,101.348067
-200.0,200,101.625098
-200.0,200,101.911261
-200.0,200,102.19336
-200.0,200,102.23504
-200.0,200,102.5132
-200.0,200,102.793877
-200.0,200,103.079424
-200.0,200,103.352854
-200.0,200,103.395887
-200.0,200,103.6797
-200.0,200,103.966021
-200.0,200,104.257749
-200.0,200,104.540683
-200.0,200,104.583147
-200.0,200,104.862041
-200.0,200,105.168252
-200.0,200,105.447739
-200.0,200,105.496591
-200.0,200,105.77346
-200.0,200,106.067523
