#{"t_start": 1606292021.5842628, "env_id": "LunarLander-v2"}
r,l,t
-293.527366,125,0.186702
-200.700401,88,0.235112
-130.418535,80,0.277119
-307.686486,102,0.330705
-184.120697,76,0.372479
-154.5159,125,0.441102
-206.402714,98,0.494121
-351.535893,102,0.548258
-94.786802,69,0.583642
-110.89873,80,0.638042
-268.614898,95,0.699935
-461.263933,94,0.75055
-116.736598,64,0.783474
-101.680005,74,0.822253
-123.809267,91,0.873554
-277.865752,103,0.930108
-126.990058,118,0.991807
-215.950076,66,1.025941
-355.939592,94,1.07615
-84.773729,101,1.129402
-175.764471,125,1.196838
-416.418963,115,2.382984
-122.782031,94,2.438165
-152.873611,66,2.47787
-103.133716,127,2.554894
-120.618517,70,2.590376
-89.568576,118,2.654242
-320.052616,124,2.720882
-76.668478,87,2.767204
-86.668162,73,2.805433
-252.057503,84,2.849161
-153.72545,129,2.923306
-115.150028,73,2.96248
-102.064316,117,3.03008
-190.709585,85,3.092173
-95.548107,61,3.123868
-152.583469,105,3.181032
-68.267045,119,3.245103
-127.659426,118,3.309719
-280.470934,67,3.344543
-70.192369,66,3.377728
-106.184233,92,3.428751
-204.536982,77,3.469761
-188.263553,118,4.662293
-182.425914,112,4.729247
-178.991486,125,4.803233
-87.118743,82,4.849371
-74.287817,70,4.888027
-186.453244,119,4.955978
-168.511512,101,5.011774
-107.901354,80,5.054382
-187.671037,109,5.112338
-114.623988,68,5.14878
-209.954313,125,5.21711
-287.080244,164,5.309859
-109.978401,91,5.358311
-126.981325,112,5.420336
-93.039001,149,5.503109
-123.340936,101,5.557846
-188.472481,147,5.640014
-169.723187,107,5.698609
-52.534357,68,5.734535
-51.329294,87,6.907212
-129.601833,140,6.99699
-66.97878,144,7.086559
-113.423226,98,7.141382
-74.863107,148,7.224682
-40.0724,152,7.311115
-144.626383,182,7.419678
-105.267533,151,7.507183
-11.730633,102,7.563265
-302.737202,121,7.628864
-129.955778,104,7.685803
-83.172455,122,7.752742
-83.815887,118,7.818369
-101.654455,110,7.881687
-12.435912,153,7.976924
-90.072064,141,8.058443
-47.998148,79,9.232896
-78.689274,136,9.317242
-107.333384,118,9.389159
-117.61871,139,9.471875
8.904093,197,9.592574
-67.200406,74,9.632858
-17.7428,130,9.706791
-111.412981,145,9.792053
-104.297424,135,9.872431
-87.519303,181,9.982758
-172.253621,130,10.056729
-37.097383,102,10.114719
-45.716384,143,10.198085
-80.52666,208,14.003332
-300.650271,136,14.081991
-47.120031,130,15.358866
-71.481184,147,15.45564
-152.291653,170,15.564056
-83.332898,125,15.636032
-154.649707,87,15.685786
-64.664883,121,15.754296
-324.984087,229,15.90443
28.335384,146,15.99159
-37.444341,185,16.102492
-84.965162,275,16.300307
-62.280349,138,16.378029
-215.734473,173,16.480454
-250.556541,218,17.802741
-28.504208,155,17.912081
-192.334596,292,18.129762
-53.957945,107,18.191713
1.235999,1000,19.473764
-58.773141,190,19.601705
13.012355,107,19.661779
-244.495034,357,21.323274
-218.171109,232,21.482792
9.032315,278,21.691053
-238.476578,312,21.918887
-72.901588,182,22.032204
-98.015541,207,22.164634
-24.53483,179,22.272903
-96.423068,371,22.562939
-48.286653,256,23.968436
-70.664817,230,24.154548
-106.674173,352,24.436963
-90.184585,218,24.581131
75.452248,217,24.723924
-133.113439,201,24.91711
-265.980872,458,25.430908
-77.588083,260,27.120799
31.953616,199,27.255585
-276.188038,327,27.508849
-151.590297,212,27.650247
-30.070232,314,27.940383
-201.793926,313,28.26259
-232.088401,387,34.398553
28.455609,213,36.432469
-150.724533,286,36.745431
-97.257615,244,37.05046
-214.76226,316,37.371862
-35.484281,230,37.596677
42.005236,211,37.903446
-187.505153,434,38.643907
-147.44873,246,38.883696
-52.991756,316,40.979517
-7.713579,317,41.331925
30.463392,1000,44.085981
-227.056603,301,44.396576
-27.645113,403,46.912914
-96.539658,249,47.195977
22.925045,1000,49.766592
10.384817,1000,53.828891
12.250904,235,54.15473
-7.732306,302,54.63305
-44.044315,423,55.377138
66.756774,1000,60.079841
141.342077,1000,62.271373
