#{"t_start": 1606393646.0302458, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-274.888966,113,0.187507
-333.757248,106,0.263339
-559.982803,126,0.353159
-226.988758,108,0.428717
-267.370696,85,0.487119
-83.562969,109,0.567122
-246.117838,93,0.634035
-583.363984,155,0.750722
-172.150885,85,0.811191
-186.697925,129,0.904371
-84.77732,67,0.950287
-214.181912,125,1.040739
-219.289876,78,1.097567
-386.358061,195,1.257838
-368.373938,92,1.324268
-321.012565,120,1.41266
-389.187599,90,1.477256
-547.138743,134,1.576358
-335.528193,127,14.691545
-287.074725,89,14.794108
-185.058046,60,14.855869
-249.323684,111,14.971428
-79.752377,133,15.111155
-170.976518,135,15.253965
-258.627954,112,15.371628
-234.132458,117,15.491771
-124.928011,126,15.628158
-90.26588,74,15.705924
-139.864222,133,15.848018
-320.679574,131,15.99217
-379.958019,99,16.103845
4.927222,1000,35.799977
-303.381599,128,35.960314
-396.294172,99,36.078556
-132.223638,84,36.171592
-56.602086,199,36.437139
-290.857173,159,36.622333
-219.692432,150,36.800014
-93.155078,161,36.988696
-91.638581,156,37.165155
-266.545196,130,37.316989
-372.624194,136,37.476467
-390.679228,87,37.57685
-372.506242,161,37.76893
-147.157053,135,54.066605
-276.529513,149,54.261325
-95.28634,151,54.466131
-298.757925,125,54.623983
-228.476859,150,54.812734
-9.533266,121,54.963685
-173.025794,167,55.180018
-86.679362,104,55.309577
-79.496866,146,55.489435
-270.215956,172,55.703426
-204.138024,131,55.865212
-47.438317,153,56.074458
-312.179862,218,56.369084
-270.141998,112,56.505315
-192.191693,146,73.244984
-258.524339,192,73.550938
-73.431398,184,73.842909
-229.310675,374,74.59255
-85.217811,195,74.874001
-14.676412,198,75.193255
9.043576,224,75.547523
-14.800965,193,75.850713
-73.624052,193,76.157445
-3.460881,243,94.057569
-165.760176,366,94.924587
-39.000325,258,95.419081
8.387234,1000,98.615885
-52.047159,1000,119.992165
-297.336956,327,120.528284
-148.622037,331,121.053838
-51.187168,248,121.398933
-37.41161,212,121.689388
42.495803,1000,140.374341
-386.301485,483,141.476853
-204.400419,335,142.040259
-249.637465,581,158.45355
-37.884558,1000,163.287439
